Player + Prop,Player + Prop + Line,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
Kahleah CopperPts+Asts,Kahleah CopperPts+Asts21.5,WNBA,237861,Kahleah Copper,GF,PHX,Pts+Asts,21.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12776786,21.83,49.94,50.06,-3.86,50.06,Under,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,21.83,,,,No,IND,26.84,34,48.8577565,51.1422435,50,21.83,5,-0.0456,under,21.83,21.78,21.74,0,Push
Caitlin ClarkPoints,Caitlin ClarkPoints21.5,WNBA,237851,Caitlin Clark,G,IND,Points,21.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,12777307,21.71,50.53,49.47,,50.53,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,21.71,,,,No,SEA,40.13,31,48.59454476,51.40545524,50,21.71,,0,,21.71,21.71,21.63,21.5,Push
Kelsey MitchellPoints,Kelsey MitchellPoints20.5,WNBA,237852,Kelsey Mitchell,G,IND,Points,20.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,12776198,20.2,50.33,49.67,-8.14,50.33,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,20.2,,,,No,SEA,27.98,31,48.47421711,51.52578289,50,20.2,,0,,20.2,20.2,20.32,20.5,Best Bet
Aliyah BostonPts+Asts,Aliyah BostonPts+Asts19.5,WNBA,237853,Aliyah Boston,FC,IND,Pts+Asts,19.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,12777079,19.5,48.56,51.44,-5.08,51.44,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,19.5,,,,No,SEA,34.82,29,48.56,51.44,51.44,19.5,,0,,19.5,19.5,19.5,0,Push
Kahleah CopperPoints,Kahleah CopperPoints19.5,WNBA,237861,Kahleah Copper,GF,PHX,Points,19.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12783180,19.65,50.79,49.21,-8.6,50.79,Under,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,19.65,,,,No,IND,26.84,34,48.49731479,51.50268521,50,19.65,7,0.1628,over,19.65,19.81,19.82,20.5,Push
Lexi HeldFantasyScore,Lexi HeldFantasyScore17.5,WNBA,323385,Lexi Held,G,PHX,Fantasy Score,17.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/manual/Lexi_Held.webp,12791765,,,,,,Under,,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,15.55,,,,No,,,0,48.36,51.64,51.64,15.55,,0,,15.55,15.55,15.94,15.55,Push
Caitlin Clark + Alyssa ThomasAssists(Combo),Caitlin Clark + Alyssa ThomasAssists(Combo)17,WNBA,325019,Caitlin Clark + Alyssa Thomas,G,IND/PHX,Assists (Combo),17,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_fdUL938IJSfvkAhuZBew1dmF.webp,12797774,,,,,,,,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,,,,,No,,,0,,,,0,,0,,0,0,17,0,Push
Aliyah Boston + Alyssa ThomasRebounds(Combo),Aliyah Boston + Alyssa ThomasRebounds(Combo)16.5,WNBA,325023,Aliyah Boston + Alyssa Thomas,FC,IND/PHX,Rebounds (Combo),16.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_SjkYVHOTf2Ht8FQansSzqDua.webp,12797831,,,,,,,,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,,,,,No,,,0,,,,0,,0,,0,0,16.5,0,Push
Caitlin ClarkFGAttempted,Caitlin ClarkFGAttempted16.5,WNBA,237851,Caitlin Clark,G,IND,FG Attempted,16.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,12804181,,,,,,,,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,,,,,No,SEA,40.13,31,,,,0,,0,,0,0,16.5,16.5,Push
Kahleah CopperFGAttempted,Kahleah CopperFGAttempted16.5,WNBA,237861,Kahleah Copper,GF,PHX,FG Attempted,16.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12804182,,,,,,,,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,,,,,No,IND,26.84,34,,,,0,5,-0.0456,under,0,-0.05,16.5,16.5,Push
